name,adress,regitration,link
"CTF ""Игры Кодебай"" ","Онлайн / офлайн, г. Москва",Регистрация: до 20 апреля,https://codeby.timepad.ru/event/2350343/
PURE ENERGY HACKATHON ,"Офлайн, коворкинг ИРИТ-РТФ, Екатеринбург, ул. Мира 32, Р-044",Регистрация: до 15 апреля,https://hac.prosoftsystems.ru/
"ТехноСтрелка (CITYLOGIC, IT-education hack, Media LIGHT) ","Офлайн, Нижний-Новгород",Регистрация: до 31 марта,https://tehnostrelka52.ru/
Кибериммунная разработка от Лаборатории Касперского ,Онлайн,Регистрация: до 16 апреля,https://codenrock.com/contests/hackathon-cyberimmune#/
Hackathon </beCoder> ,Онлайн,Регистрация: до 7 апреля,http://hackathon-becoder.tilda.ws/
Игра как программный продукт ,"Офлайн, IT-бар Failover Bar, г. Санкт-Петербург, 7-я линия Васильевского Острова, д. 42",Регистрация: до 16 апреля,https://forms.yandex.ru/cloud/642aec72e010db3197681c2c/
SkyHack ,"Офлайн, Екатеринбурге, Neboplaza ",Регистрация: до 13 апреля,https://sky-hack.ru/
ПРОСТО х Сбер ,"Офлайн, г. Санкт-Петербург, наб. реки Карповки, 5АК",Регистрация: до 15 апреля,https://www.prostospb.team/hackathon-sber
Хахатон 2023 ,Онлайн,Регистрация: до 15 апреля,https://hahaton-mirea.ru/
IT's Tinkoff Solution Cup,"Онлайн / офлайн, офлайн-площадки будут открыты в 13 городах: Санкт-Петербург, Екатеринбург, Казань, Пермь, Томск, Уфа, Ростов-на-Дону, Краснодар, Сочи, Рязань, Самара, Нижний Новгород и Минск.",Регистрация: до 15 апреля,https://www.tinkoff.ru/solutioncup/
PROSpace,"Офлайн, IT-куб. Гагарин» (г. Севастополь, ул. Руднева, 41)",Регистрация: до 9 апреля,https://forms.yandex.ru/cloud/6412d3b2e010db009ddcf828/
Цифровой суверенитет,"Онлайн / офлайн, Москва, РТУ МИРЭА ",Регистрация: до 15 апреля ,https://xn----ctbbmaapfe8bebxhmwbjl2b.xn--p1ai/
Финам Trade API,"Онлайн / офлайн, г. Москва, Сколковский институт науки и технологий",Регистрация: до 10 мая,https://www.finam.ru/landings/hackathon-trade-api/
Code Rocks,"Онлайн / офлайн, Брянск",Регистрация: по 7 апреля 2023,https://docs.google.com/forms/d/e/1FAIpQLScrW2kzkwIQn69UjPUzVESdMkjNYsoHqvaDqozDsQyZedhmqA/viewform
РИБА ТЕХ,Онлайн,Регистрация: до 10 апреля,https://gpn-hack.aim.club/auth/signup1
PetroHack ,"Офлайн, офис компании «PetroGM» (г. Новосибирск, пр-т Академика Лаврентьева 2/2)",Регистрация: до 5 апреля,https://docs.google.com/forms/d/e/1FAIpQLSe4veWi5LfMvrFwvAiPL519mrxJBp0e4xQ1hUS0WhFaI7uPMw/viewform
Ликвидация аварии ,"Офлайн, г. Архангельск, Набережная Северной Двины, д.2. (IT-парк «Цифровая Арктика»)",Регистрация: до 4 апреля ,https://cup.rtc.ru/51-hakaton-2023/263-2023-hakaton-1
3.0 HUMANHACK ,"Офлайн, г. Ростов-на-Дону, просп. Михаила Нагибина, 33А/47 (Цифровой дом, КиберАрена)",Регистрация: до 30 марта,https://iubiphack.ru/
Optimize & Organize Challenge ,"Онлайн / офлайн, Москва",Регистрация: до 7 апреля,https://codenrock.com/contests/optimize-organize-challenge#/
GIS'IT 2023 (ГИС хакатон) ,"Офлайн, Якутск, Точка кипения СВФУ им. М.К. Аммосова Якутск",Регистрация: до 7 апреля,https://leader-id.ru/events/408315
RLT.Hack ,Онлайн,Регистрация: до 6 апреля,https://uni.roseltorg.ru/vserosrlthack?utm_source=hackaton&utm_medium=post&utm_campaign=vserosonlinehack07042023
AI HR Hack,Онлайн,Регистрация: до 7 апреля ,https://t.me/bbtch_hackathon_bot
Цифровые решения для промышленности,"Офлайн, Челябинская обл., д. Ключевка, ул. Солнечная Поляна, 1В, база отдыха «Лесная застава»",Регистрация: до 5 апреля,http://itforum.gov74.ru/hackathons/
Цифра.zone|Технологическая модернизация,"Онлайн / офлайн, Московская область, г. Дубна, ул. Программистов 4, Конгресс-Центр",Регистрация: до 5 апреля,http://hakatonitzone.oezdubna.ru/
Хакатон по разработке умной одежде,"Офлайн, г. Новосибирск, ул Потанинская, д. 5, НТИ РГУ им.Косыгина",Регистрация: до 3 апреля,https://leader-id.ru/events/413312
ЮФУ: от идеи до MVP #SfeduNet 7PRO,"Офлайн, Ростов-на-Дону, ул Зорге, д. 21Ж",Регистрация: до 2 апреля,https://leader-id.ru/events/414826
EESTech Challenge,"Онлайн / офлайн, Санкт-Петербургский политехнический университет Петра Великого",Регистрация: до 28 марта,https://codenrock.com/contests/hackathon-eestech-challenge#/
Tender Hack,"Офлайн, г. Санкт-Петербург, гостиница Октябрьская, Лиговский просп., 10/118",Регистрация: до 30 марта,https://tenderhack.ru/spb
IT_ONE Cup. Mobile ,Онлайн,Регистрация: до 16 апреля,https://itonecup.sk.ru/
Гуманитарная инициатива – 2023,"Офлайн, Екатеринбург, УрФУ ул. Мира, 19",Регистрация: до 14 марта,https://urgi.urfu.ru/ru/gumanitarnaja-iniciativa/registracija-uchastnikov/
ROBOTON,Онлайн,Регистрация: до 27 марта,https://monolit-dots.ru/
TGT Digital Challenge. Сезон #SANDSTORM,"Онлайн, Казань",Регистрация: до 26 марта включительно,https://tgt.timepad.ru/event/2317816/
DEMHACK 6,Онлайн,Регистрация: до 16 марта,https://6.demhack.org/
MARKING HACK,Онлайн,Регистрация: до 14 марта,https://hack.markirovka.ru/
TRUE TECH HACK,Онлайн,Регистрация: до 22 марта,https://true-tech-hack.ru/?utm_source=hackathonsrus
GREENDATA LEAGUE: SPRING HACK 2023,"Офлайн, «Точка кипения» по адресу: г. Пермь, ул Советская, д. 1Б.",Регистрация: до 21 марта,https://ru.greendata.store/springhack2023
ИТ СТАР ФЕСТ,"Офлайн, Самара",,https://itstarfest.ru/
НеХакатон,"Онлайн / финал офлайн, г. Ростов-на-Дону",Регистрация: до 19 марта,https://nehackaton-airo61.tilda.ws/
Герценовский хакатон,"Офлайн, Институт информационных технологий и технологического образования и Технопарка РГПУ им. А. И. Герцена",Регистрация: до 18 марта,https://technopark.herzen.spb.ru/hakaton/
FRANK BATTLE 2023,"Офлайн/онлайн, г. Орел, место уточняется",Регистрация: до 26 марта,https://frankrg.com/it-hackathon2023/
OmWars CTF,"Офлайн/онлайн, улица Маршала Жукова, 21, Омск",Регистрация: до 17 марта,https://ctf.omwars.org/
Цифровизация туризма на Байкале,"Офлайн, Иркутск, Точка кипения - Иркутск",Регистрация: до 17 марта,https://digital-baikal.ru/
SPRING 2023,"Офлайн, Ростов-на-Дону, площадь Гагарина, 1 к 7",Регистрация: до 12 марта,https://fantastic-hackathon.ru/
VR/AR Crimea – 2023,"Офлайн/онлайн, Севастополь",Регистрация: до 22:00 (по мск) 12 марта,https://events.pfdo.ru/login
STANKIN VR/AR,"Онлайн / финал офлайн, МГТУ «СТАНКИН» ",Регистрация: до 12 апреля,https://stankinhackvr.ru/
ЛингваХак,"Офлайн, Ростов-на-Дону, Точка кипения ДГТУ Ростов-на-Дону",Регистрация: до 14 марта,https://leader-id.ru/events/394478
Cup IT 2023,Онлайн,Регистрация: до 12 марта,https://changellenge.com/championships/changellenge-cup-it-2023/?utm_source=cl-site&utm_medium=main&utm_campaign=slider
Хакатон ИИ-проектов в МГУ,"Онлайн / офлайн, г.Москва, Ленинские горы, д. 1, стр. 46, Экономический факультет МГУ ",Регистрация: до 21 марта,https://codenrock.com/contests/hackai-msu#/
Digital space 2023,Онлайн / финал офлайн на базе филиала Центра «Поиск» в г.Михайловске ,Регистрация: до 26 марта ,https://stavdeti.online/hackathon-2023/
AssistiveTech,Онлайн / офлайн,Регистрация: до 7 апреля,https://i.moscow/tech_contests/assistivetech2023
Весенний Всероссийский онлайн-хакатон 2.0,Онлайн,Регистрация: до 7 апреля,https://hakaton.action.group/
Videoperevorot,"Онлайн / офлайн, Санкт-Петербург",Регистрация: до 10 апреля,https://videoperevorot.ru/
Хакатон Алисы и ИТМО,"Смешанный формат, Москва, ИТМО",Регистрация: до 5 марта,https://forms.yandex.ru/cloud/63e3b076e010db07d9e40a1f/
CLEAN CODE CUP ,Онлайн,Регистрация: до 28 февраля,https://it-math.asu.ru/
BD&ML,"Офлайн, Санкт-Петербург, Кронверкский пр-т, д. 49",Регистрация: до 21:00 27 февраля,https://docs.google.com/forms/d/e/1FAIpQLSfra5PdlI5m4gPYR4fRdYmNdO9QoNSPi-87djRSCU4n2xx40Q/viewform
Межрегиональный фестиваль инженерных команд «Технофест»,"Офлайн, г. Иваново, ул. Типографская, д. 25/55 и г. Иваново, пр. Ленина, д. 73.",Регистрация: до 1 марта,https://xn--37-kmc.xn--80aafey1amqq.xn--d1acj3b/activity/966/?date=2023-02
AeroSpacePro,Офлайн + онлайн,Регистрация: до 26 февраля,http://promtech-vacancies.tilda.ws/aerospacepro2023
UI/UX хакатон Мозаики,"Офлайн, Точка кипения - Омск",Регистрация: до 25 февраля,https://leader-id.ru/events/388229
Hack-a-TON x DoraHacks,"Офлайн, Санкт-Петербург",,https://form.typeform.com/to/IABlM7mt
VK NFT x Definition,Онлайн,Регистрация: до 16 февраля,https://definitionhack.io/?utm_source=codenrock&utm_medium=partner&utm_term=hackathonrf
IT Step,"Офлайн, Ставрополь",Регистрация: до 17 февраля,https://docs.google.com/forms/d/e/1FAIpQLSd_14MiTkoaczFES0JNfB02JXDl9-bGKP_xMVpRY5Z2pNl2dA/viewform
devHack,"Онлайн и офлайн, «IT-куб» г. Ростова-на-Дону",Регистрация: до 16 февраля,https://itcube61.ru/devhack
Молодёжный бит,Онлайн+офлайн,Регистрация: до 14 февраля,https://youthbit.ru/
RLT.Hack,"Офлайн, Москва, МГТУ им. Баумана.",Регистрация: до 16 февраля,https://uni.roseltorg.ru/intensive
ЕВРАЗ 2.0,Онлайн,Регистрация: до 14 февраля 23:59 мск,https://xn--80aaaairqt2ajzt9a.xn--p1ai/?utm_source=hacklist
Самый масштабный хакатон на юге России,"Офлайн, г. Краснодар",,https://iqarium.ru/hakatontime?utm_source=site&utm_medium=hackatonru&utm_campaign=promo
BI-столица России,"Офлайн, Новосибирск",Регистрация: до 16 февраля,https://pix-it.ru/events/vserossijskij-hakaton-po-biznes-analitike/?utm_source=telegram&utm_medium=post&utm_campaign=bi-hakaton-nsk
аэРОбот,"Офлайн, г. Санкт-Петербург",Регистрация: до 12 февраля,https://forms.yandex.ru/u/63d0dfef84227c48e9789bab/
ENERGYHACK,Офлайн,"Регистрация: до 14 февраля, 10:00",https://forms.yandex.ru/cloud/63c529425d2a06095e6df66a/
Соревнования в области геймдизайна,"Онлайн, Екатеринбург",Регистрация: до 12 февраля,https://kvant.dm-centre.ru/event/sorevnovaniya-v-oblasti-gejmdizajna/
Культурные открытия,Онлайн,Регистрация: до 13 марта,https://xn----ctbbmled9adbtji2ah4a.xn--p1ai/hakaton
OPEN SOURCE,Онлайн,Регистрация: до 24 марта,https://foss.kruzhok.org/
Data Fusion Contest 2023,Онлайн,,https://ods.ai/tracks/data-fusion-2023-competitions?utm_source=hackathonsrus
Приборостроение – 2023,"Офлайн, Санкт-Петербург, ул Профессора Попова, д. 5, 5, СПбГЭТУ «ЛЭТИ»",Регистрация: до 31 января,https://leader-id.ru/events/387429
Smart Petersburg,"Офлайн, Санкт-Петербург",,https://forms.yandex.ru/u/63a42c03c417f380b68cff15/
СтроимПросто,"Офлайн, г. Москва, ул. 2-я Брестская, д. 6",Регистрация: до 28 февраля,https://stroimprosto-msk.ru/contests/hakaton-stroimprosto/
PRO_НАНО,"Офлайн, Санкт-Петербург",Регистрация: до 26 января,https://forms.yandex.ru/u/63a2e9055d2a064cebe8f0bf/
MTS ML CUP,Онлайн,Регистрация: до 15 марта,https://ods.ai/competitions/mtsmlcup
Инженерная реконструкция 4.0,"Online отбор, очный хакатон",,https://engineer.urfu.ru/
Арктический хакатон,Онлайн,Регистрация: до 24 января,https://forms.yandex.ru/cloud/63a2d185f47e7344470bb4f8/
Anlaut Game Jam,Онлайн с оффлайн-посиделками по вечерам в Иннополисе,,https://itch.io/jam/anlaut-3
Masters of Arts: ML Challenge,Онлайн,,https://codenrock.com/contests/masters-of-arts#/
Chelyabinsk app development hackathon,"Оффлайн, Челябинск",,https://vk.com/chelhackapp
X-MAS HACK 2022,Онлайн ,,https://www.zavodit.ru/ru/calendar?utm_source=xmas&utm_medium=adv_&utm_campaign=hakatony_rf_
HackWagon22,Онлайн,Регистрация: до 14 декабря.,https://codenrock.com/contests/hackwagon22?utm_source=partner&utm_medium=hackathonrf#/
No-code разработка IT-решений ,Онлайн,Регистрация: до 13 декабря 15:00 мск,http://rhck.me/antihackathon
DevRel Hack,Онлайн,Регистрация: до 6 декабря.,https://codenrock.com/contests/devrel-hack?utm_source=partner&utm_medium=hackathonrf#/
Хакатон по питчингу от Бизнес-инкубатора ВШЭ,Онлайн,,https://t.me/hse_startup_cup_bot
Tender Hack Москва,Хакатон: 9 - 11 декабря 2022 г.,,https://tenderhack.ru/msk
Tomsk BlackBox Hackathon,"Офлайн, Томск",,https://docs.google.com/forms/d/e/1FAIpQLSc1mPf1L_-zyxjnwwuY_i4lOG2fPIXF4CxjTYFNZOUXKB2eXQ/viewform
Всероссийский хакатон,Онлайн+офлайн,,https://hackathon-rf.ru/
FIT - M 2022,"Онлайн + офлайн, Москва, Национальный исследовательский университет «Высшая школа экономики»",,https://fit-m.org/hack
Югорский хакатон «ХАНТАТОН – 2022»,Онлайн ,,https://xn--80aa2bbewbt.xn--p1ai/2022/
Онлайн-хакатон Оренбургской области,Онлайн ,Регистрация: до 1 декабря 17:00 ч. ,https://it.orb.ru/hackathon
Avanpost Challenge,Онлайн ,,https://www.zavodit.ru/ru/calendar/event/20?utm_source=adv&utm_medium=cpc&utm_campaign=hackathonyrf
SignalNeuroHack,Санкт-Петербург,Регистрация: 23:59 27 ноября 2022,https://www.prostospb.team/hackaton
Web2Souls,Онлайн ,,https://t.me/web3souls_media
Cyber Garden,"Офлайн, Таганрог",,https://cybergarden.ru/
Культурно-образовательный хакатон «История будущего»,"Офлайн, Москва",,https://rcfoundation-hakaton.ru/
Hackathon </beCoder> 2022,"Офлайн, Санкт-Петербург",Регистрация: До 10 ноября 23:00,http://becoder-hack.ru/
Хакатон Добра 3.0,Online,,https://xn--80aa3anexr8c.xn--p1acf/dobro
Инженерные соревнования BELL 2022,Смешанный формат,Регистрация: до 13 ноября,https://vk.com/bell2022_moscow
Самый масштабный хакатон,"Оффлайн, Краснодар",,https://iqarium.ru/hakatontime
Sovcombank Team Challenge 2022,Онлайн,,https://scbteamchallenge.sk.ru/?utm_source=partner&utm_medium=hackathonrf
Управляй с KasperskyOS,"Офлайн, Москва, Россия",Квалификационный этап: онлайн с 12 по 16 ноября!,https://t.me/+q0rJSat_KJo1ZmQy
Cardio data hack UFA 2022,"Онлайн, на платформе Codenrock",Регистрация: до 14 ноября,https://codenrock.com/contests/hakaton-codenrock-cardiodatahack?utm_source=codenrock&utm_medium=social#/
Tender Hack,"Офлайн, Екатеринбург",,https://tenderhack.ru/ekb
Hack&Change от Changellenge >>,"Онлайн, Москва, Россия",Регистрация: до 7 ноября,https://changellenge.com/championships/khakaton-hack-change-2022/?utm_source=ip&utm_medium=ip&utm_term=hackrf&utm_campaign=platform
ХАКАТОН ДЛЯ ПРОГРАММИСТОВ-РОБОТОТЕХНИКОВ «РОСНЕФТИ»!,Уфа,Прием заявок: до 1 октября 2022 г.,https://events.rn.digital/hack/5?utm_source=TG&utm_medium=post1&utm_campaign=Hackathonlist
SIBERIAN GAME JAM,Онлайн,,https://discord.com/invite/SE9RkYRzsX
ЛИДЕРЫ ЦИФРОВОЙ ТРАНСФОРМАЦИИ 2022,"Онлайн + офлайн, Москва",Прием заявок: до 31 октября 2022 г.,https://leaders2022.innoagency.ru/?utm_source=pd&utm_medium=lct&utm_campaign=leaders2022_pd_lct&utm_content=mgtucareer
Smolathon,"Офлайн, г. Смоленск",,https://xn--b1aeoescq.xn--p1ai/hackathon
Всероссийский чемпионат в г. Иннополис,"Онлайн, г. Иннополис",Прием заявок: до 17 ноября!,https://hacks-ai.ru/championships/758467?utm_source=hackathonlist
Tender Hack Нижний Новгород,"Офлайн, Нижний Новгород",,https://tenderhack.ru/nizhnynovgorod
Авиахакатон2022,Онлайн,,https://aviahack.com/
IT LAND LANDING HACKTHON ,Онлайн,Регистрация: до 22 октября,https://www.itland.space/hackathon
Moscow Travel Hack,Онлайн,Прием заявок: до 4 октября 2022 г.,https://travelhack.moscow/?utm_source=tg&utm_medium=post&utm_campaign=channel
Полюс Хакатон,Онлайн,,https://polyus-hack.ru/
PSB TECH HACK,"Офлайн, Севастополь",Прием заявок: до 6 октября,https://psbtechhack.ru/?utm_source=partner&utm_medium=hackathonrf
More.Tech 4.0,Онлайн,,https://clck.ru/xBoQD
IT_ONE DevOps CHAMPION,Онлайн,,https://www.zavodit.ru/ru/calendar/event/19
Rosneft Challenge II,Онлайн,,https://events.rn.digital/hack/it2022rc2/?utm_source=codenrock&utm_medium=hckrf
ТОТ САМЫЙ ХАКАТОН,"Офлайн, СПБ, Просто.Original",Регистрация: до 30 сентября,https://tot-hackathon.ru/
GPN Intelligence Cup,Online,Регистрация: до 31 октября ,https://gpn.intelligence.cup.hack.aim.club/
Zakupki Hack,Офлайн,,https://www.roseltorg.ru/zakupkihack
Нефтекод,"Очно, Санкт-Петербург",Регистрация: 28 сентября,https://gpn-oilcode.hack.aim.club/
«Цифра.zone|Технологическая модернизация»,Онлайн+офлайн ,Прием заявок: до 28 сентября,https://hakatonitzone.oezdubna.ru/
"Хакатон по ракетной технике""Линия Кармана""",Самарская область,,http://karman-line.ssau.ru/hack
Skolkovo Hack 2022,-Онлайн ,Прием заявок: до 18 сентября,https://codenrock.com/contests/skolkovo-hack-2022#/?utm_source=tg_webpractik&utm_medium=social&utm_campaign=skolkovo-hack-2022&utm_content=skolkovo-hack&utm_term=Hackathonlist
Полимерный Хакатон,"Офлайн, Россия, РТ, г. Нижнекамск",,https://polyprofi.ru/expo/plastmassa/khakaton/
AgroCode Hack 2022,Онлайн,,https://hack.rshbdigital.ru/?utm_source=telegram&utm_medium=post&utm_campaign=hackathonlist
Aitatculture,"Онлайн, Россия, г. Иннополис",,https://globalai.innopolis.university/aitatculture
Цифровая Арт-терапия,"Офлайн, Казань, Россия",,https://kazandigitallegends.com/digital-art-therapy
VTB API hackathon 2022,Онлайн,Прием заявок: до 25 сентября,https://vtbapihack.ru/?utm_source=partner&utm_medium=hackathonrf
Первый всероссийский СХ-хакатон,"Онлайн+офлайн, Казань, Россия",,https://kazandigitallegends.com/cx-hackathon
Tender Hack Иркутск,"Офлайн, Иркутск, ул. Чкалова, д.15 (гостиница «Кортъярд Марриотт Иркутск Сити»)",,https://tenderhack.ru/irkutsk?utm_source=hacks
ТурбоХакатон «Диагностика энергетического оборудования»,Онлайн+офлайн,Прием заявок: до 30 сентября 2022 г.,https://turbohackaton.ru/
Хакатон по Искусственному интеллекту,"Онлайн + офлайн, Санкт-Петербург",Прием заявок: до 21 августа 2022 г.,https://hacks-ai.ru/hackathons/757124?utm_source=hackathonlist
DriveHack,"Офлайн, Москва",Прием заявок: до 16 августа 2022 г.,https://ya-doma.ru/drivehack/
LAR Хакатон,"Онлайн, Москва",,https://docs.google.com/forms/d/e/1FAIpQLScHuWZBE1-8q7Fqbxy1utEXrA7OtMccs5ayydhT0I2zxno36Q/viewform
AGORA HACK,Онлайн,Прием заявок: До 15 августа 2022 23:59 МСК,https://hackathon.agora.ru/
Тюменский Чемпионат,"Онлайн-чемпионат, Тюменская область",Прием заявок: до 8 сентября 2022 г.,https://hacks-ai.ru/championships/758262?utm_source=hackathonlist
Иркутский Чемпионат,"Онлайн-чемпионат, Иркутская область",Прием заявок: до 1 сентября 2022 г.,https://hacks-ai.ru/championships/758261?utm_source=hackathonlist
Тульский Чемпионат,Онлайн,Прием заявок: до 25 августа ,https://hacks-ai.ru/championships/758260?utm_source=hackathonlist
DATA HACK,Онлайн,Прием заявок: до 1 августа 2022 г.,https://data-hack.ru/?utm_source=vk&utm_medium=cpc&utm_campaign=hakatonirf&utm_content=innoteh
Sovcombank Challenge 2022,"Онлайн, Россия",,https://cnrlink.com/hckrf
Хакатон в Сибири,Онлайн + офлайн-площадка в Томске,Окончание регистрации: 10 июля 2022,https://bit.ly/3uN2pUb
НТИ-Хакатон «Умный город»,"Онлайн+офлайн, Мурманск, Россия",,https://hackathon.forumsmartcity.ru/
IT - Чемпионат,"Курская область, Россия",Регистрация: до 22 июля,https://hacks-ai.ru/championships/758244?utm_source=hackathonlist
Антихакатон от ВкусВилла,"Online + Офлайн, Моква",Прием заявок: до 21 июня 23:59,https://data-hackathon.vkusvill.ru/?utm_source=www.xn--80aa3anexr8c.xn--p1ai%2F&utm_medium=organic&utm_campaign=sitehackathon
Всероссийский чемпИИонат по Computer Vision и Big Data,Online,Прием заявок: до 18 июля 2022 г.,https://hacks-ai.ru/
Moscow City Hack 2022,Online,,https://moscityhack2022.innoagency.ru/?utm_source=pd&utm_medium=mch&utm_campaign=moscityhack2022_pd_mch&utm_content=xn__80aa3anexr
Окружной хакатон по Искусственному интеллекту,Онлайн + офлайн-площадка в Хабаровске ,Прием заявок: до 22 мая 2022 г.,https://hacks-ai.ru/hackathons/755853?utm_source=hackathonlist
IT ARENA,"Офлайн, Россия, Приморский Край, Владивосток, ВГУЭС, Кафедра информационных технологий и систем",,http://itshack.ru/workshops
Tinkoff Invest Robot Contest,Online,Прием заявок: до 23 мая 2022 г.,https://meetup.tinkoff.ru/event/tinkoff-invest-robot-contest/?utm_source=telegram_meetup&utm_medium=smm.fix&utm_campaign=tinkoffinvestrobotcontest.tgpromo&utm_term=Hackathonlist&dsp_click_id=8b0d13ee-5ef4-4fd6-9800-b6597a968e05
BRD (BEST Robotics Development),"Онлайн+офлайн, Москва",,https://docs.google.com/forms/d/e/1FAIpQLSfkx2v2OSMALKvNfh-UX1XcGVvdWrgFe3OIzmaBvkSrPnlicQ/viewform
Online Hackathon beCoder,Online,Приём заявок: до 10 апреля 2022г.,https://becoder-hack.ru/
ITMO Energy CUP,Online,Приём заявок: до 8 апреля 2022г.,https://forms.gle/2Vj7hKBo5GMynSsa8
Цифра.zone|Технологическая модернизация,"Онлайн+офлайн, Дубна, Россия",,https://hakatonitzone.oezdubna.ru/
OVISION HACK,"Онлайн, Москва, Россия",Прием заявок: до 11 апреля 2022 г.,http://hack.ovision.ru
Tender Hack Санкт-Петербург,"Offline, Санкт-Петербург, гостиница Октябрьская, Лиговский просп., 10/118",Прием заявок: до 13 апреля 2022 г.,https://tenderhack.ru/spb?utm_source=partner&utm_medium=hack
Computer Vision Bootcamp & Hackathon,Онлайн,Прием заявок: до 10 апреля 2022 г.,http://rhck.me/cvbootcamp
Пермская сборка,"Offline, Пермь",,https://permsborka.ru/
"Хакатон ""GameTech""","Офлайн, Королев",,https://docs.google.com/forms/d/e/1FAIpQLSdPPRxlvjuzIfZoHKFekgN7ZN5qC9kcN4R27pWidFvLMaWPrw/viewform
Health Data Hac,Online,Прием заявок: до 3 апреля включительно.,https://bit.ly/3isLboj
Хакатон Аэрофлота,Online,Прием заявок: до 22 марта 2022 г.,https://clck.ru/dVmuh
Hack The Cart,Online,Прием заявок: до 20 марта 2022 г.,http://rhck.me/hackthecart
WhiteSoft,"Офлайн, Хабаровск",,https://hack.thewhite.ru/
ТИМ ФОРС Альянс,Онлайн,,https://tfalliance.ru/
Самый масштабный хакатон,"Oфлайн, г. Краснодар, ул. Северная, 405",,https://iqarium.ru/hakatontime
TV Neuro Technologies,Оffline,Прием заявок: до 23:59 23 февраля 2022 г.,https://bit.ly/3uyNPzZ
Хакатон по поиску и анализу данных,Online,Прием заявок: до 8 марта 2022 г.,https://serverchallenge.ru/?utm_source=rh
Definition,"Offline, ФРИИ, г. Москва,",Прием заявок: до 17 февраля 2022 г.,https://definitionhack.io/
BlockchainHack,"Oфлайн, Москва (допускается участие и онлайн).",Прием заявок: до 3 февраля,https://bhack.ru/register
HackEducation 2.0 ,Прием заявок: до 28.02.2022 включительно, ,https://docs.google.com/forms/d/e/1FAIpQLSfLKrHlQl1sq-JT_HlEsSCjizYwmMIdbHgs48g6MxE56OoX5w/viewform
Разработка мобильных приложений ,"Офлайн, Королев, Россия",Прием заявок: до 26.01.2022,https://forms.gle/rTUVaNqHsoQaFuei7
ISS HACK,Online,,https://iss-hack.ru/
iVision 2.0 ,Online + Offline Петрозаводск,Прием заявок:  : до 10 января 2022 г.,http://ivision.citylink.pro/
Up Great ПРО//ЧТЕНИЕ,Online,Прием заявок: :до 22 декабря 2021 г.,https://ai.upgreat.one/
Инновации речного транспорта Москвы,online и offline,Прием заявок: до 16 декабря 2021 г.,http://rhck.me/sbertroika
Хакатон FIT-M 2021,"Москва, национальный исследовательский университет «Высшая Школа Экономики»",Прием заявок: до 09 ноября 2021 г.,https://fit-m.org/hack
AliExpress DAU Hackathon,Online,,https://lpd.vc/ecom?utm_source=80site&utm_campaign=AliExpressHack&utm_content=hackathon_calendar
Startup Hackathon 12-21,Online,"Прием заявок: до 18:00, 09 декабря 2021 г.",https://www.1221.hktn.org/?utm_source=google&utm_medium=email&utm_campaign=skolkovo
КБШЖДХКТН,Online,Прием заявок: до 8 декабря 13:00 МСК,http://rhck.me/rzdhack2
Хакатон по медицинскому ИИ 2021,Онлайн,,https://nanosemantics.timepad.ru/event/1861440/
Wildhack,Онлайн,Регистрация: до 28 ноября,https://wildhack.croc.ru/
Moscow Secure Traffic,Онлайн,Прием заявок: до 02 декабря 2021 г.,https://securetraffic.moscow/
BILET.HACK,Онлайн,Прием заявок: до 27 ноября,https://hackathon.worldskills.ru/
RoadHack,Онлайн,Регистрация до: 26.11.2021 23:59,https://codenrock.com/contests/hakaton-fau-rosdornii/#/
T1 Digital Challenge,"Москва, офлайн",,https://t1-challenge.ru/
LingvоHack,г. Казань,Прием заявок: до 18 ноября 2021,https://kpfu.ru/zrk/xakaton-39lingvohack39-dlya-lingvistov-i-407476.html
Maff Meteverse Хакатон,"Онлайн, Москва",,https://metaverse.maff.io/hackathon
Командные игры дронов,Онлайн,,https://uavprof.ru/
Хакатон Profi,Онлайн и офлайн формат,"Хакатон: 23 ноября, с 09:00 до 17:00 по Красноярскому времени",https://leader-id.ru/events/231038
Digital Challenge,Офлайн,Хакатон: 20-21 ноября 2021,https://leader-id.ru/events/247747
AgroCode Hack,Онлайн-хакатон,,https://agro-code.ru/hack/
Home Credit HACK,Онлайн,,https://hackhome.credit/
Wildhack,Онлайн,Регистрация: до 10 ноября,https://hack.wildberries.ru/?utm_medium=email&utm_source=sktechno&utm_content=-+Wildhack++%3A++%2C++++++&utm_campaign=Wildberries_3
Хакатон для программистов-робототехников от Роснефти,Уфа,Хакатон: 12-14 ноября,https://it2021.rn.digital/?utm_source=VK&utm_medium=VK_Group&utm_campaign=hacklist
Конкурс по финансовой грамотности среди образовательных организаций Ставропольского края,"Ставрополь, Точка кипения СКФУ Ставрополь",,https://leader-id.ru/events/234290
Соревнование IrkutskCTF,"Иркутск, ул Игошина, д. 1а, Выставочный зал Технопарка ИРНИТУ",,https://leader-id.ru/events/231041
"Межвузовский хакатон по проектированию интернет вещей «i.IoT38» в рамках форума ""iDigital-38""","Иркутск, Точка кипения ИРНИТУ Иркутск",,https://leader-id.ru/events/231513
Межвузовский хакатон Baikal Unity VR & GameDev,"Иркутск, Точка кипения ИРНИТУ Иркутск",,https://leader-id.ru/events/231472
